Dataset S8. Summary of panel demographics for tomato sensory panels.,,,,,,,,,,,,,,,,
Variety,Panel,VarietyByPanel,Panelists,<24,25-34,35-50,51-67,AgeNA,Female,Male,Asian,Black,White,RaceNA,Hispanic,Not Hispanic
Japanese Black Trifele,12,JapaneseBlackTrifele12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
Legend,12,Legend12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
Livingston's Golden Queen,12,LivingstonsGoldenQueen12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
Ponderosa Red,12,PonderosaRed12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
Zapotec,12,Zapatec12,66,36,22,6,2,0,42,24,17,2,40,7,9,57
Costoluto Genovese,13,CostolutoGenovese13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
Martian Giant,13,MartianGiant13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
Mr. Stripey,13,MrStripey13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
Rose Tomato,13,RoseTomato13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
Sunray,13,Sunray13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
Tasti-Lee,13,TastiLee13,82,42,25,9,5,1,52,30,18,3,52,9,13,69
FD X Matina,14,FDxMatina14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
FD X Wisconsin 55,14,FDxWisconsin55_14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Flora-Dade,14,FloraDade14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Matina,14,Matina14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Matina X FD,14,MatinaxFD14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Wisconsin 55,14,Wisconsin55_14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Wisconsin55xFD,14,Wisconsin55xFD14,72,35,18,9,9,1,47,25,14,2,50,6,12,60
Czech Bush Red,15,CzechBushRed15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
Early Red Chief,15,EarlyRedChief15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
Orange Queen,15,OrangeQueen15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
Peron Sprayless,15,PeronSprayless15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
St. Pierre,15,StPierre15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
Three Sisters,15,ThreeSisters15,67,24,23,10,9,1,39,28,10,4,48,5,9,58
Florida 47,16,Florida47_16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Maglia Rosa Cherry,16,MagliaRosaCherry16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Martian Giant,16,MartianGiant16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Red House Free Standing,16,RedHouseFreeStanding16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Super Sioux,16,SuperSioux16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Valencia,16,Valencia16,77,39,22,7,8,1,52,25,17,2,50,8,13,64
Bloody Butcher,17,BloodyButcher17,95,45,29,10,11,0,59,36,23,4,58,10,17,78
Giant Belgium,17,GiantBelgium17,95,45,29,10,11,0,59,36,23,4,58,10,17,78
Livingston's Globe,17,LivingstonsGlobe17,95,45,29,10,11,0,59,36,23,4,58,10,17,78
Matina,17,Matina17,95,45,29,10,11,0,59,36,23,4,58,10,17,78
Super Sioux,17,SuperSioux17,95,45,29,10,11,0,59,36,23,4,58,10,17,78
Brandywine,18,Brandywine18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
Dixie Golden Giant,18,DixieGoldenGiant18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
FD X German Queen,18,FDxGerman Queen18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
Flora-Dade,18,FloraDadeH18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
German Queen X FD,18,GermanQueenxFD18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
Santiam,18,Santiam18,88,43,26,10,9,0,55,33,24,2,54,8,15,73
Black,19,Black19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
Japanese Black Trifele,19,JapaneseBlackTrifele19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
Kentucky Beefsteak,19,KentuckyBeefsteak19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
Marmande VFA,19,MarmandeVFA19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
Red Calabash,19,RedCalabash19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
St. Pierre,19,StPierre19,86,37,28,11,10,0,55,31,21,4,52,9,15,71
FD X Wisconsin 55,20,FDXWisconsin55_20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
Flora-Dade,20,FloraDade20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
German Queen,20,GermanQueen20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
St. Pierre,20,StPierre20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
Wisconsin 55,20,Wisconsin55_20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
Wisconsin 55 X FD,20,Wisconsin55XFD_20,76,36,25,7,8,0,46,30,17,3,46,10,15,61
Bloody Butcher,21,BloodyButcherUnchilled21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
Maglia Rosa Cherry,21,MagliaRosaCherry21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
Maglia Rosa Cherry X FL 8059,21,MagliaRosaCherryxFL8059_21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
Maglia Rosa Cherry X FL 8735,21,MagliaRosaCherryxFL8735_21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
Marmande VFA,21,MarmandeVFAUnchilled21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
Red Calabash,21,RedCalabashUnchilled21,90,34,29,11,16,0,56,34,21,9,54,6,10,80
"Bloody Butcher, chilled",22,BloodyButcherChilled22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
"Marmande VFA, chilled",22,MarmandeVFAchilled22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
"Red Calabash, chilled",22,RedCalabashchilled22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
"Watermelon Beefsteak, unchilled",22,WatermelonBeefsteakUnchilled22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
Wisconsin 55 X FL 8059,22,Wisconsin55Unchilled22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
Wisconsin 55,22,Wisconsin55xFL8059_22,82,28,28,10,15,1,47,35,20,10,47,5,9,73
FL 8059,23,FL8059_23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
FL 8059 X German Queen,23,FL8059xGerman Queen23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
St. Pierre,23,StPierre23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
St. Pierre X FL 8059,23,StPierrexFL8059_23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
"Watermelon Beefsteak, chilled",23,WatermelonBeefsteakChilled23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
"Wisconsin 55, chilled",23,Wisconsin55chilled23,85,32,26,12,14,1,52,33,21,9,51,4,10,75
FL8059 X Maglia Rosa Cherry,24,FL8059 x Maglia Rosa Cherry_24,97,36,32,14,15,0,55,42,29,7,56,5,8,89
FL8735 X Maglia Rosa Cherry,24,FL8735 x Maglia Rosa Cherry_24,97,36,32,14,15,0,55,42,29,7,56,5,8,89
Maglia Rosa Cherry X FL 8059,24,Maglia Rosa Cherry x FL8059_24,97,36,32,14,15,0,55,42,29,7,56,5,8,89
Maglia Rosa Cherry X FL 8735,24,Maglia Rosa Cherry x FL8735_24,97,36,32,14,15,0,55,42,29,7,56,5,8,89
Maglia Rosa Cherry,24,Maglia Rosa Cherry_24,97,36,32,14,15,0,55,42,29,7,56,5,8,89
FL8059 X Wisconsin 55,25,FL8059 x Wisconsin 55_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
FL8735 X Wisconsin 55,25,FL8735 x Wisconsin 55_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
Maglia Rosa Cherry X FL 8059,25,Maglia Rosa Cherry x FL8059_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
Wisconsin 55 X FL 8059,25,Wisconsin 55 x FL8059_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
Wisconsin 55 X FL8735,25,Wisconsin 55 x FL8735_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
Wisconsin 55,25,Wisconsin 55_25,92,35,28,16,13,0,55,37,29,7,54,2,6,86
FL 8059,26,FL8059_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
FL8735,26,FL8735_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
FL8735 X Wisconsin 55,26,FL8735x Wisconsin 55_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
German Queen X FL8059,26,German Queen x FL8059_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
Livingston's Stone X FL8059,26,Livingstons Stone x FL8059_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
Wisconsin 55 X FL8735,26,Wisconsin 55 x FL8735_26,91,31,28,17,15,0,52,39,26,7,55,3,7,84
Bloody Butcher,27,Bloody Butcher,96,27,26,19,24,0,61,35,25,9,55,7,8,88
Commercial Control 1,27,Commercial Control 1,96,27,26,19,24,0,61,35,25,9,55,7,8,88
FL8059 X Bear Creek,27,FL8059 x Bear Creek,96,27,26,19,24,0,61,35,25,9,55,7,8,88
Maglia Rosa Cherry X FL 8059,27,Maglia Rosa Cherry x FL8059,96,27,26,19,24,0,61,35,25,9,55,7,8,88
Marmande VFA,27,Marmande VFA,96,27,26,19,24,0,61,35,25,9,55,7,8,88
W55x8059BC1-F4-18-168-315,27,W55x8059BC1-F4-18-168-315,96,27,26,19,24,0,61,35,25,9,55,7,8,88
Wisconsin 55,27,Wisconsin 55,96,27,26,19,24,0,61,35,25,9,55,7,8,88
[W55x8059 BC1 F3-18-168-315]x8059,28,[W55x8059 BC1 F3-18-168-315]x8059,82,23,21,18,20,0,54,28,23,7,46,6,7,75
246,28,246,82,23,21,18,20,0,54,28,23,7,46,6,7,75
298,28,298,82,23,21,18,20,0,54,28,23,7,46,6,7,75
905,28,905,82,23,21,18,20,0,54,28,23,7,46,6,7,75
Commercial Control 2,28,Commercial Control 2,82,23,21,18,20,0,54,28,23,7,46,6,7,75
FL 8059,28,FL8059,82,23,21,18,20,0,54,28,23,7,46,6,7,75
Garden Gem,28,Garden Gem,82,23,21,18,20,0,54,28,23,7,46,6,7,75
319,29,319,89,25,25,18,21,0,57,32,24,9,50,6,7,82
429,29,429,89,25,25,18,21,0,57,32,24,9,50,6,7,82
635,29,635,89,25,25,18,21,0,57,32,24,9,50,6,7,82
779,29,779,89,25,25,18,21,0,57,32,24,9,50,6,7,82
887,29,887,89,25,25,18,21,0,57,32,24,9,50,6,7,82
Better Boy,29,Better Boy,89,25,25,18,21,0,57,32,24,9,50,6,7,82
Commercial Control 3,29,Commercial Control 3,89,25,25,18,21,0,57,32,24,9,50,6,7,82
150,30,150,76,21,21,15,19,0,47,29,20,6,45,5,6,70
657,30,657,76,21,21,15,19,0,47,29,20,6,45,5,6,70
896,30,896,76,21,21,15,19,0,47,29,20,6,45,5,6,70
982,30,982,76,21,21,15,19,0,47,29,20,6,45,5,6,70
Commercial Control 4,30,Commercial Control 4,76,21,21,15,19,0,47,29,20,6,45,5,6,70
Garden Treasure,30,Garden Treasure,76,21,21,15,19,0,47,29,20,6,45,5,6,70
Tasti-Lee,30,Tasti-Lee,76,21,21,15,19,0,47,29,20,6,45,5,6,70
595,31,595,57,17,15,11,14,0,30,27,16,6,31,4,6,51
Bear Creek,31,Bear Creek,57,17,15,11,14,0,30,27,16,6,31,4,6,51
Brandywine,31,Brandywine,57,17,15,11,14,0,30,27,16,6,31,4,6,51
Commercial Control 5,31,Commercial Control 5,57,17,15,11,14,0,30,27,16,6,31,4,6,51
Giant Belgium,31,Giant Belgium,57,17,15,11,14,0,30,27,16,6,31,4,6,51
Livingston's Stone,31,Livingston's Stone,57,17,15,11,14,0,30,27,16,6,31,4,6,51
St. Pierre,31,St. Pierre,57,17,15,11,14,0,30,27,16,6,31,4,6,51
205,32,205,104,44,28,12,20,0,69,35,30,6,66,2,7,97
336,32,336,104,44,28,12,20,0,69,35,30,6,66,2,7,97
349,32,349,104,44,28,12,20,0,69,35,30,6,66,2,7,97
581,32,581,104,44,28,12,20,0,69,35,30,6,66,2,7,97
681,32,681,104,44,28,12,20,0,69,35,30,6,66,2,7,97
848,32,848,104,44,28,12,20,0,69,35,30,6,66,2,7,97
176,33,176,91,36,24,12,19,0,56,35,26,6,58,1,6,85
473,33,473,91,36,24,12,19,0,56,35,26,6,58,1,6,85
643,33,643,91,36,24,12,19,0,56,35,26,6,58,1,6,85
745,33,745,91,36,24,12,19,0,56,35,26,6,58,1,6,85
962,33,962,91,36,24,12,19,0,56,35,26,6,58,1,6,85
983,33,983,91,36,24,12,19,0,56,35,26,6,58,1,6,85
161,34,161,90,34,27,12,17,0,58,32,24,5,58,3,6,84
384,34,384,90,34,27,12,17,0,58,32,24,5,58,3,6,84
602,34,602,90,34,27,12,17,0,58,32,24,5,58,3,6,84
797,34,797,90,34,27,12,17,0,58,32,24,5,58,3,6,84
837,34,837,90,34,27,12,17,0,58,32,24,5,58,3,6,84
910,34,910,90,34,27,12,17,0,58,32,24,5,58,3,6,84
